seed,h2,n_causal,r2,spearman
2026,0.3,80,0.07304031281256795,0.27598788081208103
2026,0.3,90,0.02316547312001127,0.23433852613498105
2026,0.3,100,0.004823738836520763,0.1976573705179283
2026,0.4,10,0.367619002333021,0.5845550969773602
2026,0.4,20,0.29299604545399693,0.5562503995992081
2026,0.4,30,0.30080049807948983,0.5239108714841235
2026,0.4,40,0.34632240954647264,0.5519938926927023
2026,0.4,50,0.14094063345157903,0.38156528377507937
2026,0.4,60,0.17875243892553028,0.4446212276641936
2026,0.4,70,0.056256385884992044,0.30748679533363554
2026,0.4,80,0.10510362646166937,0.33391111005081475
2026,0.4,90,0.09098247245189028,0.3277341412791946
2026,0.4,100,0.058288523932663705,0.28973628837941645
2026,0.5,10,0.4503293532094256,0.6516060786792949
2026,0.5,20,0.38917778532961134,0.6411961733902712
2026,0.5,30,0.408759677161181,0.6092358708877067
2026,0.5,40,0.4600961600343725,0.6367696161461938
2026,0.5,50,0.2862912065127299,0.5125515661903285
2026,0.5,60,0.2646401689098502,0.5243297945940789
2026,0.5,70,0.15034226978356613,0.4231887778228404
2026,0.5,80,0.22043131491046142,0.4670527948087888
2026,0.5,90,0.16857626488428024,0.42382737314216196
2026,0.5,100,0.16440353496155535,0.4234285850609538
2026,0.6,10,0.5722304209167726,0.7480790132881647
2026,0.6,20,0.5005266366507244,0.7202706300546318
2026,0.6,30,0.5372935223491458,0.703338502278312
2026,0.6,40,0.5894700093008274,0.7306437960731923
2026,0.6,50,0.46035242066126036,0.6449321277763199
2026,0.6,60,0.3746390311571344,0.6107496242574613
2026,0.6,70,0.32959766224998943,0.5827816876207744
2026,0.6,80,0.29401319654153524,0.5392344872008971
2026,0.6,90,0.3049786958686318,0.555566285755183
2026,0.6,100,0.2563978146008692,0.5157915881384643
7777,0.1,10,0.044837844867813614,0.2487560655581268
7777,0.1,20,-0.01757453982448709,0.16146403607128373
7777,0.1,30,0.00741295224505889,0.1646579669346566
7777,0.1,40,-0.03594606116221466,0.07831629171935016
7777,0.1,50,-0.01233188156501952,0.09431237922561252
